realtime_start,value,date,realtime_end
2019-12-06,802948,1992-01-01,2019-12-06
2019-12-06,809329,1992-02-01,2019-12-06
2019-12-06,813301,1992-03-01,2019-12-06
2019-12-06,819247,1992-04-01,2019-12-06
2019-12-06,815688,1992-05-01,2019-12-06
2019-12-06,812610,1992-06-01,2019-12-06
2019-12-06,817899,1992-07-01,2019-12-06
2019-12-06,820061,1992-08-01,2019-12-06
2019-12-06,823912,1992-09-01,2019-12-06
2019-12-06,844117,1992-10-01,2019-12-06
2019-12-06,850772,1992-11-01,2019-12-06
2019-12-06,823633,1992-12-01,2019-12-06
2019-12-06,830472,1993-01-01,2019-12-06
2019-12-06,837696,1993-02-01,2019-12-06
2019-12-06,845466,1993-03-01,2019-12-06
2019-12-06,851007,1993-04-01,2019-12-06
2019-12-06,848150,1993-05-01,2019-12-06
2019-12-06,840682,1993-06-01,2019-12-06
2019-12-06,841820,1993-07-01,2019-12-06
2019-12-06,843790,1993-08-01,2019-12-06
2019-12-06,851014,1993-09-01,2019-12-06
2019-12-06,872794,1993-10-01,2019-12-06
2019-12-06,881832,1993-11-01,2019-12-06
2019-12-06,850662,1993-12-01,2019-12-06
2019-12-06,857823,1994-01-01,2019-12-06
2019-12-06,867791,1994-02-01,2019-12-06
2019-12-06,869132,1994-03-01,2019-12-06
2019-12-06,876216,1994-04-01,2019-12-06
2019-12-06,883463,1994-05-01,2019-12-06
2019-12-06,879098,1994-06-01,2019-12-06
2019-12-06,886582,1994-07-01,2019-12-06
2019-12-06,894296,1994-08-01,2019-12-06
2019-12-06,903536,1994-09-01,2019-12-06
2019-12-06,932673,1994-10-01,2019-12-06
2019-12-06,944083,1994-11-01,2019-12-06
2019-12-06,913178,1994-12-01,2019-12-06
2019-12-06,930073,1995-01-01,2019-12-06
2019-12-06,943250,1995-02-01,2019-12-06
2019-12-06,951783,1995-03-01,2019-12-06
2019-12-06,964551,1995-04-01,2019-12-06
2019-12-06,966416,1995-05-01,2019-12-06
2019-12-06,959054,1995-06-01,2019-12-06
2019-12-06,963639,1995-07-01,2019-12-06
2019-12-06,966512,1995-08-01,2019-12-06
2019-12-06,974748,1995-09-01,2019-12-06
2019-12-06,1005190,1995-10-01,2019-12-06
2019-12-06,1013264,1995-11-01,2019-12-06
2019-12-06,971548,1995-12-01,2019-12-06
2019-12-06,985288,1996-01-01,2019-12-06
2019-12-06,992520,1996-02-01,2019-12-06
2019-12-06,989270,1996-03-01,2019-12-06
2019-12-06,997607,1996-04-01,2019-12-06
2019-12-06,993342,1996-05-01,2019-12-06
2019-12-06,981384,1996-06-01,2019-12-06
2019-12-06,987780,1996-07-01,2019-12-06
2019-12-06,989675,1996-08-01,2019-12-06
2019-12-06,996161,1996-09-01,2019-12-06
2019-12-06,1026552,1996-10-01,2019-12-06
2019-12-06,1032049,1996-11-01,2019-12-06
2019-12-06,990236,1996-12-01,2019-12-06
2019-12-06,1001594,1997-01-01,2019-12-06
2019-12-06,1011593,1997-02-01,2019-12-06
2019-12-06,1010703,1997-03-01,2019-12-06
2019-12-06,1020615,1997-04-01,2019-12-06
2019-12-06,1018096,1997-05-01,2019-12-06
2019-12-06,1012936,1997-06-01,2019-12-06
2019-12-06,1016327,1997-07-01,2019-12-06
2019-12-06,1017650,1997-08-01,2019-12-06
2019-12-06,1029939,1997-09-01,2019-12-06
2019-12-06,1061105,1997-10-01,2019-12-06
2019-12-06,1068905,1997-11-01,2019-12-06
2019-12-06,1031141,1997-12-01,2019-12-06
2019-12-06,1042099,1998-01-01,2019-12-06
2019-12-06,1055958,1998-02-01,2019-12-06
2019-12-06,1060445,1998-03-01,2019-12-06
2019-12-06,1067950,1998-04-01,2019-12-06
2019-12-06,1060760,1998-05-01,2019-12-06
2019-12-06,1049957,1998-06-01,2019-12-06
2019-12-06,1053376,1998-07-01,2019-12-06
2019-12-06,1056507,1998-08-01,2019-12-06
2019-12-06,1067240,1998-09-01,2019-12-06
2019-12-06,1097690,1998-10-01,2019-12-06
2019-12-06,1107522,1998-11-01,2019-12-06
2019-12-06,1062675,1998-12-01,2019-12-06
2019-12-06,1071035,1999-01-01,2019-12-06
2019-12-06,1082979,1999-02-01,2019-12-06
2019-12-06,1090302,1999-03-01,2019-12-06
2019-12-06,1098322,1999-04-01,2019-12-06
2019-12-06,1094943,1999-05-01,2019-12-06
2019-12-06,1086975,1999-06-01,2019-12-06
2019-12-06,1091848,1999-07-01,2019-12-06
2019-12-06,1094423,1999-08-01,2019-12-06
2019-12-06,1107696,1999-09-01,2019-12-06
2019-12-06,1141338,1999-10-01,2019-12-06
2019-12-06,1159390,1999-11-01,2019-12-06
2019-12-06,1121998,1999-12-01,2019-12-06
2019-12-06,1134371,2000-01-01,2019-12-06
2019-12-06,1146568,2000-02-01,2019-12-06
2019-12-06,1150610,2000-03-01,2019-12-06
2019-12-06,1162620,2000-04-01,2019-12-06
2019-12-06,1162809,2000-05-01,2019-12-06
2019-12-06,1162473,2000-06-01,2019-12-06
2019-12-06,1162945,2000-07-01,2019-12-06
2019-12-06,1171166,2000-08-01,2019-12-06
2019-12-06,1178706,2000-09-01,2019-12-06
2019-12-06,1216296,2000-10-01,2019-12-06
2019-12-06,1229002,2000-11-01,2019-12-06
2019-12-06,1180188,2000-12-01,2019-12-06
2019-12-06,1191951,2001-01-01,2019-12-06
2019-12-06,1191439,2001-02-01,2019-12-06
2019-12-06,1186330,2001-03-01,2019-12-06
2019-12-06,1189533,2001-04-01,2019-12-06
2019-12-06,1180738,2001-05-01,2019-12-06
2019-12-06,1161695,2001-06-01,2019-12-06
2019-12-06,1152536,2001-07-01,2019-12-06
2019-12-06,1150828,2001-08-01,2019-12-06
2019-12-06,1152421,2001-09-01,2019-12-06
2019-12-06,1165237,2001-10-01,2019-12-06
2019-12-06,1157597,2001-11-01,2019-12-06
2019-12-06,1103923,2001-12-01,2019-12-06
2019-12-06,1111640,2002-01-01,2019-12-06
2019-12-06,1112071,2002-02-01,2019-12-06
2019-12-06,1109602,2002-03-01,2019-12-06
2019-12-06,1111506,2002-04-01,2019-12-06
2019-12-06,1108397,2002-05-01,2019-12-06
2019-12-06,1102590,2002-06-01,2019-12-06
2019-12-06,1106888,2002-07-01,2019-12-06
2019-12-06,1107788,2002-08-01,2019-12-06
2019-12-06,1123981,2002-09-01,2019-12-06
2019-12-06,1155466,2002-10-01,2019-12-06
2019-12-06,1163421,2002-11-01,2019-12-06
2019-12-06,1124357,2002-12-01,2019-12-06
2019-12-06,1133336,2003-01-01,2019-12-06
2019-12-06,1148853,2003-02-01,2019-12-06
2019-12-06,1152247,2003-03-01,2019-12-06
2019-12-06,1155995,2003-04-01,2019-12-06
2019-12-06,1143502,2003-05-01,2019-12-06
2019-12-06,1132545,2003-06-01,2019-12-06
