realtime_start,value,date,realtime_end
2019-12-06,478951,1992-01-01,2019-12-06
2019-12-06,496844,1992-02-01,2019-12-06
2019-12-06,542833,1992-03-01,2019-12-06
2019-12-06,533768,1992-04-01,2019-12-06
2019-12-06,537400,1992-05-01,2019-12-06
2019-12-06,565572,1992-06-01,2019-12-06
2019-12-06,526186,1992-07-01,2019-12-06
2019-12-06,539854,1992-08-01,2019-12-06
2019-12-06,560404,1992-09-01,2019-12-06
2019-12-06,566566,1992-10-01,2019-12-06
2019-12-06,545761,1992-11-01,2019-12-06
2019-12-06,588252,1992-12-01,2019-12-06
2019-12-06,501102,1993-01-01,2019-12-06
2019-12-06,519670,1993-02-01,2019-12-06
2019-12-06,577660,1993-03-01,2019-12-06
2019-12-06,562473,1993-04-01,2019-12-06
2019-12-06,568082,1993-05-01,2019-12-06
2019-12-06,592054,1993-06-01,2019-12-06
2019-12-06,541465,1993-07-01,2019-12-06
2019-12-06,571966,1993-08-01,2019-12-06
2019-12-06,587293,1993-09-01,2019-12-06
2019-12-06,587643,1993-10-01,2019-12-06
2019-12-06,582479,1993-11-01,2019-12-06
2019-12-06,614453,1993-12-01,2019-12-06
2019-12-06,523199,1994-01-01,2019-12-06
2019-12-06,548442,1994-02-01,2019-12-06
2019-12-06,622218,1994-03-01,2019-12-06
2019-12-06,589743,1994-04-01,2019-12-06
2019-12-06,606190,1994-05-01,2019-12-06
2019-12-06,634299,1994-06-01,2019-12-06
2019-12-06,570383,1994-07-01,2019-12-06
2019-12-06,637290,1994-08-01,2019-12-06
2019-12-06,638551,1994-09-01,2019-12-06
2019-12-06,637472,1994-10-01,2019-12-06
2019-12-06,636597,1994-11-01,2019-12-06
2019-12-06,673862,1994-12-01,2019-12-06
2019-12-06,583576,1995-01-01,2019-12-06
2019-12-06,602657,1995-02-01,2019-12-06
2019-12-06,671889,1995-03-01,2019-12-06
2019-12-06,629789,1995-04-01,2019-12-06
2019-12-06,665344,1995-05-01,2019-12-06
2019-12-06,688374,1995-06-01,2019-12-06
2019-12-06,610456,1995-07-01,2019-12-06
2019-12-06,678051,1995-08-01,2019-12-06
2019-12-06,677370,1995-09-01,2019-12-06
2019-12-06,678823,1995-10-01,2019-12-06
2019-12-06,671241,1995-11-01,2019-12-06
2019-12-06,698703,1995-12-01,2019-12-06
2019-12-06,608890,1996-01-01,2019-12-06
2019-12-06,640408,1996-02-01,2019-12-06
2019-12-06,687749,1996-03-01,2019-12-06
2019-12-06,676459,1996-04-01,2019-12-06
2019-12-06,705129,1996-05-01,2019-12-06
2019-12-06,701473,1996-06-01,2019-12-06
2019-12-06,661061,1996-07-01,2019-12-06
2019-12-06,704489,1996-08-01,2019-12-06
2019-12-06,703818,1996-09-01,2019-12-06
2019-12-06,724199,1996-10-01,2019-12-06
2019-12-06,700035,1996-11-01,2019-12-06
