realtime_start,value,date,realtime_end
2019-12-06,517626,1992-01-01,2019-12-06
2019-12-06,520289,1992-02-01,2019-12-06
2019-12-06,530715,1992-03-01,2019-12-06
2019-12-06,533290,1992-04-01,2019-12-06
2019-12-06,536742,1992-05-01,2019-12-06
2019-12-06,541482,1992-06-01,2019-12-06
2019-12-06,545177,1992-07-01,2019-12-06
2019-12-06,541368,1992-08-01,2019-12-06
2019-12-06,546733,1992-09-01,2019-12-06
2019-12-06,545987,1992-10-01,2019-12-06
2019-12-06,550285,1992-11-01,2019-12-06
2019-12-06,552282,1992-12-01,2019-12-06
2019-12-06,558864,1993-01-01,2019-12-06
2019-12-06,558311,1993-02-01,2019-12-06
2019-12-06,554939,1993-03-01,2019-12-06
2019-12-06,560899,1993-04-01,2019-12-06
2019-12-06,568488,1993-05-01,2019-12-06
2019-12-06,566266,1993-06-01,2019-12-06
2019-12-06,566307,1993-07-01,2019-12-06
2019-12-06,566668,1993-08-01,2019-12-06
2019-12-06,571317,1993-09-01,2019-12-06
2019-12-06,577000,1993-10-01,2019-12-06
2019-12-06,577705,1993-11-01,2019-12-06
2019-12-06,577177,1993-12-01,2019-12-06
2019-12-06,584335,1994-01-01,2019-12-06
2019-12-06,588455,1994-02-01,2019-12-06
2019-12-06,595174,1994-03-01,2019-12-06
2019-12-06,596719,1994-04-01,2019-12-06
2019-12-06,600167,1994-05-01,2019-12-06
2019-12-06,605009,1994-06-01,2019-12-06
2019-12-06,610274,1994-07-01,2019-12-06
2019-12-06,619487,1994-08-01,2019-12-06
2019-12-06,619872,1994-09-01,2019-12-06
2019-12-06,628003,1994-10-01,2019-12-06
2019-12-06,631779,1994-11-01,2019-12-06
2019-12-06,642382,1994-12-01,2019-12-06
2019-12-06,644664,1995-01-01,2019-12-06
2019-12-06,645312,1995-02-01,2019-12-06
2019-12-06,641172,1995-03-01,2019-12-06
2019-12-06,649536,1995-04-01,2019-12-06
2019-12-06,647742,1995-05-01,2019-12-06
2019-12-06,654819,1995-06-01,2019-12-06
2019-12-06,653374,1995-07-01,2019-12-06
2019-12-06,657867,1995-08-01,2019-12-06
2019-12-06,664775,1995-09-01,2019-12-06
2019-12-06,662186,1995-10-01,2019-12-06
2019-12-06,665470,1995-11-01,2019-12-06
2019-12-06,678351,1995-12-01,2019-12-06
2019-12-06,660384,1996-01-01,2019-12-06
2019-12-06,659667,1996-02-01,2019-12-06
2019-12-06,676171,1996-03-01,2019-12-06
2019-12-06,677571,1996-04-01,2019-12-06
2019-12-06,684012,1996-05-01,2019-12-06
2019-12-06,688433,1996-06-01,2019-12-06
2019-12-06,687240,1996-07-01,2019-12-06
2019-12-06,689698,1996-08-01,2019-12-06
2019-12-06,695693,1996-09-01,2019-12-06
2019-12-06,695132,1996-10-01,2019-12-06
2019-12-06,703118,1996-11-01,2019-12-06
2019-12-06,700632,1996-12-01,2019-12-06
2019-12-06,703995,1997-01-01,2019-12-06
2019-12-06,717856,1997-02-01,2019-12-06
2019-12-06,718114,1997-03-01,2019-12-06
2019-12-06,718072,1997-04-01,2019-12-06
2019-12-06,714459,1997-05-01,2019-12-06
2019-12-06,722329,1997-06-01,2019-12-06
2019-12-06,727789,1997-07-01,2019-12-06
2019-12-06,727996,1997-08-01,2019-12-06
2019-12-06,731885,1997-09-01,2019-12-06
2019-12-06,730220,1997-10-01,2019-12-06
2019-12-06,737474,1997-11-01,2019-12-06
2019-12-06,733753,1997-12-01,2019-12-06
2019-12-06,731998,1998-01-01,2019-12-06
2019-12-06,740145,1998-02-01,2019-12-06
2019-12-06,741535,1998-03-01,2019-12-06
2019-12-06,740194,1998-04-01,2019-12-06
2019-12-06,742797,1998-05-01,2019-12-06
2019-12-06,736319,1998-06-01,2019-12-06
2019-12-06,733450,1998-07-01,2019-12-06
2019-12-06,738109,1998-08-01,2019-12-06
2019-12-06,743466,1998-09-01,2019-12-06
2019-12-06,750044,1998-10-01,2019-12-06
2019-12-06,752546,1998-11-01,2019-12-06
2019-12-06,755797,1998-12-01,2019-12-06
2019-12-06,757956,1999-01-01,2019-12-06
2019-12-06,765555,1999-02-01,2019-12-06
2019-12-06,765106,1999-03-01,2019-12-06
2019-12-06,769819,1999-04-01,2019-12-06
2019-12-06,780742,1999-05-01,2019-12-06
2019-12-06,782058,1999-06-01,2019-12-06
2019-12-06,785830,1999-07-01,2019-12-06
2019-12-06,795418,1999-08-01,2019-12-06
2019-12-06,796663,1999-09-01,2019-12-06
2019-12-06,805363,1999-10-01,2019-12-06
2019-12-06,809613,1999-11-01,2019-12-06
2019-12-06,817543,1999-12-01,2019-12-06
2019-12-06,825947,2000-01-01,2019-12-06
2019-12-06,816007,2000-02-01,2019-12-06
2019-12-06,831117,2000-03-01,2019-12-06
2019-12-06,834242,2000-04-01,2019-12-06
2019-12-06,829024,2000-05-01,2019-12-06
2019-12-06,839338,2000-06-01,2019-12-06
2019-12-06,833896,2000-07-01,2019-12-06
2019-12-06,829271,2000-08-01,2019-12-06
2019-12-06,845436,2000-09-01,2019-12-06
2019-12-06,838446,2000-10-01,2019-12-06
2019-12-06,834423,2000-11-01,2019-12-06
2019-12-06,841752,2000-12-01,2019-12-06
2019-12-06,834365,2001-01-01,2019-12-06
2019-12-06,836825,2001-02-01,2019-12-06
2019-12-06,823781,2001-03-01,2019-12-06
2019-12-06,818875,2001-04-01,2019-12-06
2019-12-06,827229,2001-05-01,2019-12-06
2019-12-06,815240,2001-06-01,2019-12-06
