CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,152,39,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10,10,7.0,20.0,20.0,5.0,25.6,Afghanistan,35.5,$69.6 ,2.5,2.9,"$1,958",8.8,5.0,53.9,7.3
2,Albania,Albania,Europe,52,27,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70,70,1.1,23.0,15.0,24.9,29.5,Albania,2.9,$36.0 ,3.9,2.5,"$12,507",13.9,2.0,"1,119.1",71.2
3,Algeria,Algeria,Middle East and North Africa,171,14,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30,30,8.8,35.0,23.0,24.5,41.4,Algeria,41.5,$632.9 ,2.0,3.1,"$15,237",10.0,5.6,"1,203.0",25.8
4,Angola,Angola,Sub-Saharan Africa,156,33,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30,40,9.4,17.0,30.0,20.6,25.3,Angola,28.2,$190.3 ,0.7,2.9,"$6,753",8.2,31.7,"-2,254.5",65.3
5,Argentina,Argentina,Americas,148,26,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55,60,7.5,35.0,30.0,30.8,41.0,Argentina,44.1,$920.2 ,2.9,0.7,"$20,876",8.7,25.7,"11,857.0",52.6
6,Armenia,Armenia,Europe,47,24,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75,70,2.1,26.0,20.0,21.3,26.4,Armenia,3.0,$28.3 ,7.5,3.6,"$9,456",18.2,0.9,245.7,53.5
7,Australia,Australia,Asia-Pacific,5,4,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80,90,1.2,45.0,30.0,28.2,36.5,Australia,24.8,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,"46,368.0",41.6
8,Austria,Austria,Europe,31,16,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90,70,2.0,50.0,25.0,42.7,50.2,Austria,8.8,$439.6 ,2.9,1.3,"$49,869",5.5,2.2,"9,629.6",78.8
9,Azerbaijan,Azerbaijan,Asia-Pacific,60,13,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60,60,5.2,25.0,20.0,15.0,36.7,Azerbaijan,9.8,$171.8 ,0.1,1.2,"$17,492",5.0,13.0,"2,867.0",54.7
10,Bahamas,Bahamas,Americas,76,15,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60,18.6,0.0,0.0,16.3,21.0,Bahamas,0.4,$11.6 ,1.3,-0.7,"$31,139",12.6,1.4,927.7,57.2
11,Bahrain,Bahrain,Middle East and North Africa,54,5,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75,80,3.1,0.0,0.0,5.6,35.3,Bahrain,1.5,$70.4 ,3.2,3.8,"$48,505",1.2,1.4,518.9,90.3
12,Bangladesh,Bangladesh,Asia-Pacific,121,27,55.6,36.1,34.5,24.4,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45,30,10.7,25.0,45.0,8.8,13.6,Bangladesh,163.2,$687.1 ,7.1,6.7,"$4,211",4.4,5.7,"2,151.6",32.4
13,Barbados,Barbados,Americas,67,13,64.7,52.9,59.9,53.8,70.1,65.0,79.5,69.8,59.9,78.3,56.6,70,60,14.2,35.0,25.0,33.7,34.1,Barbados,0.3,$5.2 ,0.9,0.6,"$18,664",9.7,4.4,286.2,132.9
14,Belarus,Belarus,Europe,104,42,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30,10,1.8,13.0,18.0,23.8,44.2,Belarus,9.5,$178.9 ,2.4,-0.3,"$18,931",0.5,6.0,"1,276.4",51.0
15,Belgium,Belgium,Europe,48,25,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85,70,2.0,50.0,29.0,44.2,53.2,Belgium,11.4,$528.5 ,1.7,1.2,"$46,553",7.4,2.2,740.4,103.2
16,Belize,Belize,Americas,123,24,55.4,41.7,46.9,27.2,79.9,65.9,39.1,61.8,54.8,78.7,64.0,55,50,10.5,25.0,25.0,27.6,33.7,Belize,0.4,$3.2 ,0.8,1.8,"$8,324",9.3,1.1,77.0,99.0
17,Benin,Benin,Sub-Saharan Africa,127,21,55.3,37.2,32.8,28.1,69.3,83.4,27.9,62.4,53.8,86.4,61.8,70,50,11.6,45.0,30.0,11.9,23.5,Benin,11.1,$25.3 ,5.6,5.0,"$2,277",2.5,0.1,184.4,54.6
18,Bhutan,Bhutan,Asia-Pacific,74,16,62.9,62.5,55.4,54.5,83.0,71.6,77.6,68.7,79.5,72.6,79.4,20,30,2.8,25.0,30.0,13.4,30.7,Bhutan,0.8,$7.0 ,6.0,5.2,"$8,744",2.4,3.4,10.3,102.4
19,Bolivia,Bolivia,Americas,173,30,42.3,20.5,12.3,19.7,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15,40,4.8,13.0,25.0,31.1,41.1,Bolivia,11.1,$83.6 ,4.2,5.1,"$7,547",3.1,2.8,724.7,50.9
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,83,37,61.9,40.2,37.9,30.2,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65,60,1.2,10.0,10.0,37.0,42.4,Bosnia and Herzegovina,3.5,$44.6 ,2.7,2.5,"$12,724",25.6,1.3,425.2,41.0
21,Botswana,Botswana,Sub-Saharan Africa,36,3,69.5,58.1,45.7,52.4,82.7,65.9,94.6,68.7,68.2,78.8,83.8,65,70,0.6,25.0,22.0,24.9,33.7,Botswana,2.2,$38.9 ,2.2,4.1,"$17,828",17.4,3.3,400.6,15.6
22,Brazil,Brazil,Americas,150,27,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50,50,8.0,27.5,34.0,32.2,38.6,Brazil,207.7,"$3,240.3 ",1.0,-0.5,"$15,603",13.3,3.4,"62,712.6",84.0
